DOC_ID,REPOSITORY,BOOK_SOURCE,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V02_0014,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 85-86, BM.",doc,/TaggedPDF-doc/div/doc[14]/src
NDAR_V02_0015,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 88, BM.",doc,/TaggedPDF-doc/div/doc[15]/src
NDAR_V02_0016,"Public Record Office, London",,"1. PRO, Admiralty 51/804.",doc,/TaggedPDF-doc/div/doc[16]/src
NDAR_V02_0018,,,"1. Charles J. Hoadly, ed., Public Records of the Colony of Connecticut, 1636-1776 (Hartford, 1850-90), XV, 124. Hereafter cited as Hoadly, ed., Connecticut Records.",doc,/TaggedPDF-doc/div/doc[18]/src
NDAR_V02_0019,,,"1. Worthington C. Ford, comp. and ed., Correspondence and Journals of Samuel Blachley Webb (New York, 1893), I, 101-103. Hereafter cited as Ford, comp. and ed., Webb Papers.",doc,/TaggedPDF-doc/div/doc[19]/src
NDAR_V02_0020,,,"1. Samuel Hazard, et al., eds., Pennsylvania Archives. (Philadelphia, 1852-56 and Harrisburg, 1874-19 ー), 1st series, IV, 650-652. Hereafter cited as Hazard, et al., eds., Pennsylvania Archives.",doc,/TaggedPDF-doc/div/doc[20]/src
NDAR_V02_0021,"Library of Congress, Washington",,"1. Baltimore Committee, LC.",doc,/TaggedPDF-doc/div/doc[21]/src
NDAR_V02_0022,"Maryland Archives (Hall of Records), Annapolis",,"1. Red Book, IV, Md. Arch.",doc,/TaggedPDF-doc/div/doc[22]/src
NDAR_V02_0023,"Maryland Archives (Hall of Records), Annapolis",,"1. Red Book, I, Md. Arch.",doc,/TaggedPDF-doc/div/doc[23]/src
NDAR_V02_0024,,,"1. Purdie's Virginia Gazette, Supplement, September 8, 1775. Cary was Naval Officer for the Lower James River. Purdie published one of the Virginia Gazettes.",doc,/TaggedPDF-doc/div/doc[24]/src
NDAR_V02_0026,"Public Record Office, London",,"1. PRO, Admiralty 51/968. Tamar frequently spelled Tamer in contemporary documents.",doc,/TaggedPDF-doc/div/doc[26]/src
NDAR_V02_0027,,,"1. London Chronicle, November 14 to November 16, 1775.",doc,/TaggedPDF-doc/div/doc[27]/src
NDAR_V02_0028,"Public Record Office, London",,"1. PRO, Admiralty 51/546.",doc,/TaggedPDF-doc/div/doc[28]/src
NDAR_V02_0029,"Public Record Office, London",,"1. PRO, Admiralty 1/485.",doc,/TaggedPDF-doc/div/doc[29]/src
NDAR_V02_0030,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 117, BM.",doc,/TaggedPDF-doc/div/doc[30]/src
NDAR_V02_0031,"Public Record Office, London",,"1. PRO, Admiralty 1/485. Wanton was Royal Governor of Rhode Island.",doc,/TaggedPDF-doc/div/doc[31]/src
NDAR_V02_0032,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[32]/src
NDAR_V02_0033,,,"1. E. B. O'Callaghan, ed., Documents Relative to the Colonial History of the State of New-York (Albany, 1856-1887), VIII, 631-632. Hereafter cited as O'Callaghan, ed., Colonial New York. Tryon was Royal Governor of New York.",doc,/TaggedPDF-doc/div/doc[33]/src
NDAR_V02_0034,,,"1. Journals of the Provincial Congress, Provincial Convention, Committee of Safety and Council of Safety of the State of New-York, 1775-1776-1777 (Albany, 1842), I, 138. Hereafter cited as New York Provincial Congress.",doc,/TaggedPDF-doc/div/doc[34]/src
NDAR_V02_0035,,,"1. Sir Henry Barkly Papers, Collection of Mrs. Mona Macmillan of Long Whittenham, Berkshire, England; printed in Pennsylvania Magazine of History & Biography, LXXXV, 17, 18.",doc,/TaggedPDF-doc/div/doc[35]/src
NDAR_V02_0036,"Public Record Office, London",,"1. PRO, Admiralty 52/1866.",doc,/TaggedPDF-doc/div/doc[36]/src
NDAR_V02_0037,"Public Record Office, London",,"1. PRO, Admiralty 51/968.",doc,/TaggedPDF-doc/div/doc[37]/src
NDAR_V02_0038,,,"1. South Carolina Historical and Genealogical Magazine, I, 196, 197. Laurens was president of the South Carolina Council of Safety and chairman of the South Carolina General Committee.",doc,/TaggedPDF-doc/div/doc[38]/src
NDAR_V02_0039,,,"1. South Carolina Historical and Genealogical Magazine, I, 197-199. Drayton was a prominent South Carolina patriot who became president of the South Carolina Provincial Congress on November 1, 1775.",doc,/TaggedPDF-doc/div/doc[39]/src
NDAR_V02_0040,"Public Record Office, London",,"1. PRO, Admiralty 51/546.",doc,/TaggedPDF-doc/div/doc[40]/src
NDAR_V02_0041,,"John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. Fitzpatrick, ed., Writings of Washington, III, 476-478. Nicholas Cooke was Deputy Governor of Rhode Island.",doc,/TaggedPDF-doc/div/doc[41]/src
NDAR_V02_0042,,"John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. Fitzpatrick, ed., Writings of Washington, III, 475,476.",doc,/TaggedPDF-doc/div/doc[42]/src
NDAR_V02_0043,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 164, 73. Reed was an aide and secretary to George Washington.",doc,/TaggedPDF-doc/div/doc[43]/src
NDAR_V02_0044,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 164, 71.",doc,/TaggedPDF-doc/div/doc[44]/src
NDAR_V02_0045,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 117-119, BM. Philip Stephens was Secretary of the British Admiralty.",doc,/TaggedPDF-doc/div/doc[45]/src
NDAR_V02_0046,"University of Virginia Library, Charlottesville",,"1. Collection of Autographs and Letters left to Cabell Gwathmey, UVL.",doc,/TaggedPDF-doc/div/doc[46]/src
NDAR_V02_0047,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. The sloop Polly, Captain Samuel Perkins, from New Haven for Barbados, with a cargo of cattle, horses and corn, was taken by H.M. Sloop Kingsfisher; the sloop Cherry, Captain Amos Munson, with a cargo of molasses and sugar, was taken by H.M.S. Rose. The sloop Polly was condemned and sold in Boston, and the sloop Cherry, with her cargo, was bought for the British army. Graves's Conduct, Prize List, II, 36-38, BM.",doc,/TaggedPDF-doc/div/doc[47]/src
NDAR_V02_0048,,,"1. New York Provincial Congress, I, 139, 140.",doc,/TaggedPDF-doc/div/doc[48]/src
NDAR_V02_0049,"National Archives, Washington",,"1. Papers CC (Letters of Major General Philip Schuyler), 153, I, 122, NA. Hancock was president of the Continental Congress; Francis, one of the Indian Commissioners for the Northern Department.",doc,/TaggedPDF-doc/div/doc[49]/src
NDAR_V02_0050,,,"1. Pennsylvania Colonial Records (Harrisburg, 1852), X, 331. Hereafter cited as Pennsylvania Colonial Records.",doc,/TaggedPDF-doc/div/doc[50]/src
NDAR_V02_0051,"Public Record Office, London",,"1. PRO, Colonial Office, 5/122, 66f. Roberdeau was a Philadelphia merchant engaged in the West Indies trade. His was one of the letters found on board the brig Sea Nymph, Joseph Bradford, master, taken by H.M.S. Mercury, September 20, 1775.",doc,/TaggedPDF-doc/div/doc[51]/src
NDAR_V02_0053,"Virginia Historical Society, Richmond",,"1. Miscellaneous Letters to William Lee, VHS. First page missing. Lee, an American merchant, played an active ro1e in London politics.",doc,/TaggedPDF-doc/div/doc[53]/src
NDAR_V02_0054,"Public Record Office, London",,"1. PRO, Admiralty 52/1866.",doc,/TaggedPDF-doc/div/doc[54]/src
NDAR_V02_0055,"Public Record Office, London",,"1. PRO, Admiralty 1/309. Young was Commander-in-Chief on the Leeward Islands Station.",doc,/TaggedPDF-doc/div/doc[55]/src
NDAR_V02_0056,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[56]/src
NDAR_V02_0057,"Library of Congress, Washington",,"1. John Hancock Papers, II, LC.",doc,/TaggedPDF-doc/div/doc[57]/src
NDAR_V02_0058,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[58]/src
NDAR_V02_0060,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 120, BM.",doc,/TaggedPDF-doc/div/doc[60]/src
NDAR_V02_0061,"Columbia University Library, New York",,"1. Otis Collection, CUL.",doc,/TaggedPDF-doc/div/doc[61]/src
NDAR_V02_0062,"Massachusetts Archives, Boston",,"1. Mass. Arch., vol. 205, 80. Lincoln was a member of the Massachusetts Council.",doc,/TaggedPDF-doc/div/doc[62]/src
NDAR_V02_0063,,,"1. Collections of the Connecticut Historical Society, II, 302. Deane was a Connecticut delegate in the Continental Congress. Saltonstall, member of a prominent New London family, was a colonel in the Connecticut militia.",doc,/TaggedPDF-doc/div/doc[63]/src
NDAR_V02_0064,,"Peter Force, comp., American Archives, Fourth Series (Washington, 1837-1853).","1. New York Provincial Congress, I, 141. The certificate is from Force, comp., American Archives, 4th, III, 884.",doc,/TaggedPDF-doc/div/doc[64]/src
NDAR_V02_0066,"Public Record Office, London",,"1. PRO, Colonial Office, 5/122, 66e. This letter was found on board the Sea Nymph, taken by H.M.S. Mercury.",doc,/TaggedPDF-doc/div/doc[66]/src
NDAR_V02_0068,"Public Record Office, London",,"1. PRO, Admiralty 51/663.",doc,/TaggedPDF-doc/div/doc[68]/src
NDAR_V02_0069,"Public Record Office, London",,"1. PRO, Admiralty 52/1866.",doc,/TaggedPDF-doc/div/doc[69]/src
NDAR_V02_0071,"National Archives, Washington",,"1. Papers CC (Letters of Major General Philip Schuyler), 153, I, 125-128, NA.",doc,/TaggedPDF-doc/div/doc[71]/src
NDAR_V02_0073,"Public Record Office, London",,"1. PRO, Admiralty 51/546.",doc,/TaggedPDF-doc/div/doc[73]/src
NDAR_V02_0075,"William L. Clements Library, University of Michigan, Ann Arbor",,"1. Gage Papers, CL.",doc,/TaggedPDF-doc/div/doc[75]/src
NDAR_V02_0076,"William L. Clements Library, University of Michigan, Ann Arbor",,"1. Gage Papers, CL.",doc,/TaggedPDF-doc/div/doc[76]/src
NDAR_V02_0077,"Public Record Office, London",,"1. PRO, Admiralty 51/804.",doc,/TaggedPDF-doc/div/doc[77]/src
NDAR_V02_0078,,,"1. Hoadly, ed., Connecticut Records, XV, 125, 127.",doc,/TaggedPDF-doc/div/doc[78]/src
NDAR_V02_0079,"Library of Congress, Washington",,"1. Force Transcripts, LC. Shaw, a prominent New London merchant, procured gunpowder for the Connecticut forces.",doc,/TaggedPDF-doc/div/doc[79]/src
NDAR_V02_0080,"Newport Historical Society, Newport",,"1. Ships Papers, Ship Peggy, NHS.",doc,/TaggedPDF-doc/div/doc[80]/src
NDAR_V02_0082,,,"1. Pennsylvania Colonial Records, X, 333.",doc,/TaggedPDF-doc/div/doc[82]/src
NDAR_V02_0083,"Maryland Historical Society, Baltimore",,"1. Letter Book of John Smith & Sons, Merchants of Baltimore, 1775-84, MdHS. Hereafter cited as Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[83]/src
NDAR_V02_0084,"Maryland Historical Society, Baltimore",,"1. Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[84]/src
NDAR_V02_0085,"Maryland Historical Society, Baltimore",,"1. Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[85]/src
NDAR_V02_0086,"Maryland Historical Society, Baltimore",,"1. Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[86]/src
NDAR_V02_0087,"Maryland Historical Society, Baltimore",,"1. Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[87]/src
NDAR_V02_0088,"Maryland Historical Society, Baltimore",,"1. Ridgely Papers, MdHS.",doc,/TaggedPDF-doc/div/doc[88]/src
NDAR_V02_0089,"Public Record Office, London",,"1. PRO, Admiralty 51/506.",doc,/TaggedPDF-doc/div/doc[89]/src
NDAR_V02_0090,"Public Record Office, London",,"1. PRO, Admiralty 52/1866.",doc,/TaggedPDF-doc/div/doc[90]/src
NDAR_V02_0091,"Public Record Office, London",,"1. PRO, Admiralty 51/600.",doc,/TaggedPDF-doc/div/doc[91]/src
NDAR_V02_0094,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[94]/src
NDAR_V02_0095,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[95]/src
NDAR_V02_0096,"Public Record Office, London",,"1. PRO, Admiralty 1/485. Wallace commanded a small British squadron in Rhode Island waters.",doc,/TaggedPDF-doc/div/doc[96]/src
NDAR_V02_0097,,,"1. New York Gazette, September 18, 1775. Mr. Hugh Gaine, the printer, was asked to insert it ""with a view to correct a paragraph in Mr. Holt's last week's Journal."" Lott was a contractor for supplying British ships.",doc,/TaggedPDF-doc/div/doc[97]/src
NDAR_V02_0098,,,"1. New York Provincial Congress, I, 143.",doc,/TaggedPDF-doc/div/doc[98]/src
NDAR_V02_0099,,,"1. London Evening Post, November 9 to November 11, 1775.",doc,/TaggedPDF-doc/div/doc[99]/src
NDAR_V02_0100,"Public Record Office, London",,"1. PRO, Colonial Office, 5/122, 66i. One of the letters found on board the Sea Nymph when taken by H.M.S. Mercury.",doc,/TaggedPDF-doc/div/doc[100]/src
NDAR_V02_0101,"Public Record Office, London",,"1. PRO, Colonial Office, 5/122, 66e. One of a number of letters found on board the Sea Nymph, when taken by H.M.S. Mercury.",doc,/TaggedPDF-doc/div/doc[101]/src
NDAR_V02_0103,,"James S. Biddle, ed., Autobiography of Charles Biddle, Vice-President of the Supreme Executive Council of Pennsylvania, 1745-1821 (Philadelphia, 1883).","1. James S. Biddle, ed., Autobiography of Charles Biddle Vice President of the Supreme Executive Council of Pennsylvania, 1745-1812 (Philadelphia, 1883), 75-76. Hereafter cited as Biddle, ed., Charles Biddle Autobiography.",doc,/TaggedPDF-doc/div/doc[103]/src
NDAR_V02_0104,"Maryland Historical Society, Baltimore",,"1. Eden Transcripts, MdHS. Dartmouth was Secretary of State for the Colonies until November 1775 when he was appointed Lord Privy Seal. Eden was Royal Governor of Maryland.",doc,/TaggedPDF-doc/div/doc[104]/src
NDAR_V02_0106,,,"1. Holt's Virginia Gazette, September 13, 1775.",doc,/TaggedPDF-doc/div/doc[106]/src
NDAR_V02_0107,"Library of Congress, Washington",,"1. John Hancock Papers, III, 73-75, LC.",doc,/TaggedPDF-doc/div/doc[107]/src
NDAR_V02_0108,"Public Record Office, London",,"1. PRO, Admiralty 51/546.",doc,/TaggedPDF-doc/div/doc[108]/src
NDAR_V02_0109,,"John C. Fitzpatrick, ed., The Writings of George Washington (Washington, 1921-1940). ","1. Fitzpatrick, ed., Writings of Washington, III, 487-489.",doc,/TaggedPDF-doc/div/doc[109]/src
NDAR_V02_0110,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 89-90, BM. Duddingston's name was variously spelled; often as Dudingston in Admiralty dispatches and records.",doc,/TaggedPDF-doc/div/doc[110]/src
NDAR_V02_0111,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 89, BM.",doc,/TaggedPDF-doc/div/doc[111]/src
NDAR_V02_0112,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 121, BM.",doc,/TaggedPDF-doc/div/doc[112]/src
NDAR_V02_0113,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 121, BM.",doc,/TaggedPDF-doc/div/doc[113]/src
NDAR_V02_0114,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 121-122, BM.",doc,/TaggedPDF-doc/div/doc[114]/src
NDAR_V02_0115,"William L. Clements Library, University of Michigan, Ann Arbor",,"1. Gage Papers, CL. John Murray, 4th Earl of Dunmore, was Royal Governor of Virginia.",doc,/TaggedPDF-doc/div/doc[115]/src
NDAR_V02_0116,,,"1. Gunther Collections, ChHS. See Volume 1 for numerous references to both the Enterprise and the schooner Liberty which operated on Lake Champlain.",doc,/TaggedPDF-doc/div/doc[116]/src
NDAR_V02_0117,,"James S. Biddle, ed., Autobiography of Charles Biddle, Vice-President of the Supreme Executive Council of Pennsylvania, 1745-1821 (Philadelphia, 1883).","1. Biddle, ed., Charles Biddle Autobiography, 75, 76.",doc,/TaggedPDF-doc/div/doc[117]/src
NDAR_V02_0118,"Library of Congress, Washington",,"1. Mercantile Letter Book of Woolsey & Salmon, Baltimore merchants, LC. Hereafter cited as Woolsey & Salmon Letter Book, LC.",doc,/TaggedPDF-doc/div/doc[118]/src
NDAR_V02_0119,,,"1. Printed in Pinkney's Virginia Gazette, September 14, 1775; in Purdie's Virginia Gazette, September 15, and in Dixon and Hunter's Virginia Gazette, September 16, 1775.",doc,/TaggedPDF-doc/div/doc[119]/src
NDAR_V02_0120,"Colonial Williamsburg, Williamsburg",,"1. Tucker-Coleman Papers, CW. Tucker was a prominent Bermuda resident.",doc,/TaggedPDF-doc/div/doc[120]/src
NDAR_V02_0121,"Public Record Office, London",,"1. PRO, Admiralty 51/546.",doc,/TaggedPDF-doc/div/doc[121]/src
NDAR_V02_0124,"Rhode Island Historical Society, Providence",,"1. Mss. Col., RIHS.",doc,/TaggedPDF-doc/div/doc[124]/src
NDAR_V02_0126,"Rhode Island Historical Society, Providence",,"1. Nicholas Cooke Papers, RIHS.",doc,/TaggedPDF-doc/div/doc[126]/src
NDAR_V02_0127,,,"1. Hazard, et al., eds., Pennsylvania Archives, 1st series, IV, 654.",doc,/TaggedPDF-doc/div/doc[127]/src
NDAR_V02_0128,"Maryland Historical Society, Baltimore",,"1. Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[128]/src
NDAR_V02_0129,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 123-124, BM.",doc,/TaggedPDF-doc/div/doc[129]/src
NDAR_V02_0130,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 90, BM. Holland, a Surveyor General, was working in the vicinity of Perth Amboy at this time.",doc,/TaggedPDF-doc/div/doc[130]/src
NDAR_V02_0131,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 125-127,BM.",doc,/TaggedPDF-doc/div/doc[131]/src
NDAR_V02_0132,,,"1. New York Provincial Congress, I, 145.",doc,/TaggedPDF-doc/div/doc[132]/src
NDAR_V02_0133,"Maryland Historical Society, Baltimore",,"1. Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[133]/src
NDAR_V02_0134,"Public Record Office, London",,"1. PRO, Admiralty 1/485.",doc,/TaggedPDF-doc/div/doc[134]/src
NDAR_V02_0135,"Library of Congress, Washington",,"1. PRO, Colonial Office, 5/318, 427-433, LC Photocopy. Martin was Royal Governor of North Carolina.",doc,/TaggedPDF-doc/div/doc[135]/src
NDAR_V02_0136,"National Archives, Washington",,"1. Papers CC (Letters of Major General Philip Schuyler), 153, I, 156, NA.",doc,/TaggedPDF-doc/div/doc[136]/src
NDAR_V02_0137,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, Appendix, 91, BM.",doc,/TaggedPDF-doc/div/doc[137]/src
NDAR_V02_0138,"British Museum, London","The Conduct of Vice-Admiral Graves in North America in 1774, 1775 and January 1776, Gay Transcript, I, 31, MassHS. Original in British Museum, Ms 14038","1. Graves's Conduct, I, 127, BM.",doc,/TaggedPDF-doc/div/doc[138]/src
NDAR_V02_0139,"Connecticut State Library, Hartford",,"1. Conn. Arch., 1st series, III, 488a, ConnSL.",doc,/TaggedPDF-doc/div/doc[139]/src
NDAR_V02_0140,,,"1. New York Provincial Congress, I, 146.",doc,/TaggedPDF-doc/div/doc[140]/src
NDAR_V02_0142,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, II, 240, 247. While Congress was supposed to convene on September 5, there was not a quorum until September 13.",doc,/TaggedPDF-doc/div/doc[142]/src
NDAR_V02_0143,,,"1. Hazard, et al., eds., Pennsylvania Archives, 2d series, I, 550.",doc,/TaggedPDF-doc/div/doc[143]/src
NDAR_V02_0144,"Colonial Williamsburg, Williamsburg",,"1. Tucker-Coleman Papers, CW.",doc,/TaggedPDF-doc/div/doc[144]/src
NDAR_V02_0145,"Public Record Office, London",,"1. PRO, Admiralty 51/968.",doc,/TaggedPDF-doc/div/doc[145]/src
NDAR_V02_0146,,,"1. John Drayton, Memoirs of the American Revolution, from its commencement to the year 1776, inclusive; as relating to the State of South-Carolina: and occasionally refering to the states of North-Carolina and Georgia (Charleston, 1821), II, 44-45. Hereafter cited as Drayton, American Revolution.",doc,/TaggedPDF-doc/div/doc[146]/src
NDAR_V02_0147,"Public Record Office, London",,"1. PRO, Colonial Office, 37/36, 808. Bruere was Royal Governor of Bermuda.",doc,/TaggedPDF-doc/div/doc[147]/src
NDAR_V02_0149,"Morristown National Historical Park, Morristown, New Jersey",,1. MNHP.,doc,/TaggedPDF-doc/div/doc[149]/src
NDAR_V02_0150,"William L. Clements Library, University of Michigan, Ann Arbor",,"1. Gage Papers, CL.",doc,/TaggedPDF-doc/div/doc[150]/src
NDAR_V02_0151,"Rhode Island Historical Society, Providence",,"1. Nicholas Cooke Papers, I, 19, RIHS.",doc,/TaggedPDF-doc/div/doc[151]/src
NDAR_V02_0152,"Library of Congress, Washington",,"1. Washington Papers, LC.",doc,/TaggedPDF-doc/div/doc[152]/src
NDAR_V02_0153,"Connecticut State Library, Hartford",,"1. Conn. Arch., 1st series, III, 481a, ConnSL.",doc,/TaggedPDF-doc/div/doc[153]/src
NDAR_V02_0154,,,"1. Hoadly, ed., Connecticut Records, XV, 127, 130.",doc,/TaggedPDF-doc/div/doc[154]/src
NDAR_V02_0155,,,"1. New York Journal, September 28, 1775.",doc,/TaggedPDF-doc/div/doc[155]/src
NDAR_V02_0157,,"Worthington C. Ford, et al., eds., Journals of the Continental Congress (Washington, 1904-1937).","1. Ford, ed., JCC, II, 248, 249.",doc,/TaggedPDF-doc/div/doc[157]/src
NDAR_V02_0158,,,"1. Pennsylvania Colonial Records, X, 334, 335.",doc,/TaggedPDF-doc/div/doc[158]/src
NDAR_V02_0159,"Maryland Historical Society, Baltimore",,"1. Hollyday Papers, US Naval Papers, MdHS. Letter badly torn.",doc,/TaggedPDF-doc/div/doc[159]/src
NDAR_V02_0160,"Maryland Historical Society, Baltimore",,1. Smith Letter Book MdHS.,doc,/TaggedPDF-doc/div/doc[160]/src
NDAR_V02_0161,"Maryland Historical Society, Baltimore",,"1. Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[161]/src
NDAR_V02_0162,"Maryland Historical Society, Baltimore",,"1. Smith Letter Book, MdHS.",doc,/TaggedPDF-doc/div/doc[162]/src
NDAR_V02_0164,"Colonial Williamsburg, Williamsburg",,"1. Tucker-Coleman Papers, CW.",doc,/TaggedPDF-doc/div/doc[164]/src
NDAR_V02_0165,"Public Record Office, London",,"1. PRO, Admiralty 1/3680.",doc,/TaggedPDF-doc/div/doc[165]/src
NDAR_V02_0166,"Public Record Office, London",,"1. PRO, Admiralty 51/968.",doc,/TaggedPDF-doc/div/doc[166]/src
NDAR_V02_0167,"South Carolina Historical Society, Charleston",,"1. Laurens Collection, SCHS. Elliott was an officer of the 4th South Carolina Artillery.",doc,/TaggedPDF-doc/div/doc[167]/src
NDAR_V02_0168,"National Archives, Washington",,"1. Intercepted letters, Papers CC, 51, I, 75-81, NA. Tonyn was Royal Governor of East Florida. His letter to Gage was forwarded to Congress in George Washington's letter of December 18, 1775. It was found, along with many other letters and papers, on board the brig Betsey, sent into Beverly by John Manley.",doc,/TaggedPDF-doc/div/doc[168]/src
