"-LSB- Francis -RSB- Lewis"																						
"John -RSB- Alsop"																						
"Livingston"						" to General"																
"Samuel -RSB- Chase"																						
"Richard Smith"																						
"Smith"																						
"Philad"																						
"Sam"																						
"Morris"																						
"Wm. Richards"																						
"Nathaniel -RSB- Falconer"																						
"Thomas -RSB- Reed"																						
"James Maul"																						
"Andrew -RSB- Caldwell"																						
"-LSB- John -RSB- Nixon"																						
"Owen Biddle"																						
"Daniel -RSB- Roberedeau"																						
"Robinson"																						
"Benj"																						
"Jacob Myers"																						
"Page"																						
"Hammond"																						
"Dunmore"																						
"Richard -RSB- Corbin"																						
"Corbin"																						
"Dunmore"																						
"Corbin"																						
"Hamp"																						
"-LSB- William -RSB- Grayson"																						
"Dunmore"																						
"Hammond"																						
"Dunmore"																						
"Buckstrout"																						
"John Page"																						
"Richard Henry Lee"																						
"Richard H. Lee"																						
"Richard Henry Lee"						" 200 ."																
"Lee"																						
"Lee Memoir"																						
"GRAEME"																						
"SNAPE HAMOND"																						
"ALEXANDER"																						
"George"																						
"Montagu"																						
"Kingsfisher"																						
"Ann"																						
"Chesholm"																						
"Edward Blake"																						
"Blake"																						
"Capt Blake"																						
"Henry Laurens"																						
"Aaron Loocock"																						
"Charles-Town"																						
"JOURNALOF H.M.S. Scarborough"																						
"Captn Barkley"																						
"John -RSB- Maitland"																						
"James -RSB- Grant"																						
"Anchd"																						
"Empd"																						
"John Wilkins"																						
"Christopher Kelly"																						
"William Armitage"																						
"Robert Welford"						" in the"																
"Porter"																						
"Christopher Kelly"																						
"William Armitage"																						
"Christopher"																						
"Sinclair"																						
"Robert Welford"																						
"Christopher Kelly"																						
"Sinclair"																						
"Sinclair"																						
"Christopher Kelly"																						
"William Armitage"																						
"Christopher"																						
"Sinclair"																						
"Robert Welford"																						
"James -RSB- Young"																						
"Christopher Kelly"																						
"William Armitage"																						
"Robert Welford"																						
"Deponents"																						
"Kelly William Armitage Robt Welford John Wilkins"																						
"Young"																						
"Gayton"																						
"Basil Keith"																						
"JOHN HANCOCK"																						
"-LSB- William -RSB- Hooper"																						
"John Hancock"																						
"Chace"																						
"Bower"																						
"Bonaventure John Waterman Master"																						
"Josiah Barker Shubael Barnard"																						
"Stephen Paddack Stephen Hussey Men Richd Mitchel Batchr Hussey"																						
"Josiah Barker"																						
"Shubal Barnard"																						
"Batchr Hussey"																						
"Richard Mitchel Jr Stephen Hussey"																						
"Stephen Paddack Per"																						
"James Otis Papers"																						
"Rufus Potter"																						
"R. I. Arch"																						
"Messrs Brown"																						
"Ballance"																						
"John Brown"																						
"-LSB- Jacobus"																						
"Van Zandt"																						
"Andrew Elliott"																						
"Elliot"																						
"Esqr"																						
"Tryon"																						
"Middleton"																						
"Middleton"																						
"Bedlow"																						
"Sally"																						
"William Earl of Stirling"																						
"Lee"																						
"Febry"																						
"John"																						
"Brittain"																						
"Josiah Bartlett"						" Destroy the whole "	" for I am Sure no"															
"J. G. M. Stone"																						
"Walter Stevens"																						
"Peggy"																						
"Samuel Davison"																						
"Alexander Boyd"																						
"William Garnier"																						
"Esq"						" condemned the 2d of January "	" 1776 ."															
"Constance"																						
"Alexander Scott"																						
"Esq"						" condemned the 2d of January 1776 ."																
"Alexander Scott"																						
"Esq"																						
"Sloop Charming Polly"																						
"Thomas Truxton"																						
"William Garnier"						" 1776 ."																
"Sloop Thomas"																						
"Henry Keel"																						
"William Garnier"																						
"Esq"																						
"Anne County"																						
"Peter Parker"																						
"Clinton"																						
"Lee"																						
"Clinton"																						
"Lee"																						
"Coll"																						
"Colvin"																						
"Hammond"																						
"Stewart"																						
"Parker"																						
"-LSB- Edward -RSB- Blake"																						
"Jno Langdon"																						
"Nathaniel Bouton"																						
"Bouton"																						
"Langdon"																						
"Franklin SELMAN"																						
"Archd Selmon"																						
"John Selmon Comander"																						
"William Bartlett Archibald Selman"																						
"John Mcfarland"																						
"Tun"																						
"JnO Bradford"																						
"John Bradford"																						
"Samuel Phillips"																						
"Manly"																						
"Hancock"																						
"John Brakett"																						
"Thomas -RSB- Thomas"						" Pork and Flour "	" which was designed for the use of the Ministerial Butchers in"															
"Peggy"																						
"John Lothrop"																						
"Shuldham"																						
"Peggy"																						
"Sally"																						
"Alexander Wilson"																						
"Chace"																						
"Modt"																						
"Chace"																						
"Bower"																						
"Bower"																						
"James"																						
"Jonathan Grendal"																						
"Harrison"																						
"Dyer"																						
"Charles Dyar"																						
"Watson"																						
"Watson"																						
"James -RSB- Wallace"																						
"Vernon"																						
"N. York Febry"																						
"Henry -RSB- Clinton"																						
"Gentry"																						
"Die Jovis"																						
"HO"																						
"A.M. Feby"																						
"John Hastier"																						
"Sally"																						
"John Bag"																						
"Sally"																						
"John Hastier"																						
"Sally"																						
"Sally"																						
"Clay"																						
"R. Morris"																						
"Henry Laurens"																						
"Andrew Sprowle"						" besides these "	" and all his dwelling-houses "	" there was in his store many heavy and bulky goods of considerable value "	" so that his loss can not be less than many thousand pounds sterling "	" he has also had two houses burnt in"												
"JOURNALOF H.M. SLOOP Kingsfisher"																						
"James Montagu"																						
"Alexander Graeme"																						
"-LSB- Thomas -RSB- Smith"																						
"Henry Laurens"																						
"Barnley"																						
"Barnley"																						
"Henry Laurens"																						
"Wimberly Jones"																						
"St Pierre Mque"																						
"Samuel -RSB- Soule"						" he should be gone with his demand ."																
"P. Begozzat"																						
"Nicholas Cooke"																						
"Nicholas Cooke Corre"																						
"Cooke"																						
"John Langdon"						" at the"																
"Hackett"																						
"John Marshall"																						
"John Hill"																						
"Thoms Palmer"																						
"Langdon"																						
"William Whipple"						" LC ."																
"Weare"																						
"Wyer"																						
"Eleazer"						" & whatever may be wanting to compleat her Cargoe "	" must beg your Pa - tience for "	" for a few Weeks to come "	" when you may depend on having the Ballce - I am not without Hopes "	" that"												
"Wyer"																						
"Ballce"																						
"Sally"																						
"Wyer"																						
"Stephen Hooper Mem"																						
"Hallet Salem"																						
"Nathaniel -RSB- Silsbee"																						
"Nathan -RSB- Nichols"																						
"Espetially"																						
"Rong"																						
"Dominica Regest"																						
"David -RSB- Ingersoll"						" if you go to"																
"Nichols"																						
"Frend"																						
"Allen Hallett"																						
"Hallet"																						
"Elias Hasket Derby"																						
"Allen Hallett"																						
"NATHANIEL"																						
"Cape-Ann"																						
"Hallet"																						
"Nancy"																						
"Hallet"																						
"Risques"																						
"Easey"																						
"Rong"																						
"Rong"						" Brandy "	" & all such things are wanted here - Should Capt"															
"Nichols"																						
"Espetially"																						
"Nichols"																						
"Hallet"																						
"Elias Hasket Derby"																						
"Cotten"																						
"Hallet"																						
"Hallet"																						
"HORATIO"																						
"BENJAMIN FRANKLIN"																						
"Clinton"																						
"Benjamin Franklin"																						
"Baron de Woedtke"																						
"NICHOLAS JOHN BROWN"																						
"Joseph Higgins"																						
"Capt Higgins"																						
"Joseph -RSB- Nightingale"																						
"Higgins"																						
"Higgins"																						
"Capt Smith"																						
"Nathan Grear"																						
"Nicholas Brown"																						
"Jack"																						
"Wilfleet"																						
"Christopher Greene"																						
"Greene"																						
"Trumbull"																						
"Stephen Hopkins Esqr"																						
"Caleb Gardner"																						
"John I Clarke"																						
"Stephen Hopkins Esqr"																						
"Peter T. Curtenius"																						
"Barr Iron"																						
"P.T. Curtenius"																						
"Wood"																						
"Wallace"						" which we are confident your Honors intended tve shou 'd enjoy "	" as we cou 'd not obtain Permission for the free passing of the aforesaid Boats "	" until the Second Day of this Month ."														
"William -RSB- West"																						
"Law"																						
"Law"																						
"Duresse"						" that we consider it "	" as our bounden Duty "	" publicly to remon-strate against them "	" For "	" shou 'd we supinely bear "	" such alarming Encroachments "	" upon our sacred and invaluable Rights "	" we must inevitably forfiet that Character we are solicitous to sustain ."									
"Vicinage"						" in open Court "	" before as many of the People as chuse to attend shall pass their Sentence upon Oath against him -LSB- `` I ."															
"Wallace"						" many of the Inhabitants have been compelled "	" thro ' extreme Necessity to commit such Waste "	" as in any Situation "	" not so distressing "	" wou 'd have been highly Criminal ."												
"Simon Davis"																						
"Cook"																						
"Seth Harding"																						
"Charles J. Hoadly"																						
"Hoadly"																						
"Mili"																						
"Philip Schuyler"						" NA ."																
"A.M. Feby"																						
"William Lowther"																						
"Esqr"																						
"Hyde"																						
"Parker"																						
"Lowther"																						
"Parker"																						
"Lowther"																						
"Joseph Hewes"																						
"John -RSB- Carey"																						
"-LSB- Abraham -RSB- Clark"																						
"Christopher Leffingwell"																						
"-LSB- George -RSB- Wythe"																						
"-LSB- Samuel -RSB- Huntington"																						
"-LSB- Elbridge -RSB- Gerry"																						
"Leffingwell"																						
"Nancy"																						
"Robert Niles"																						
"Nancy"																						
"Thomas Davis"																						
"Joshua Winslow"																						
"Samuel"																						
"Merchan"																						
"Richard Smith"																						
"Peggy"																						
"Philad"																						
"Robert -RSB- Whyte"																						
"Robert Towers"																						
"Owen Biddle"																						
"Robert Whyte"																						
"Muster"																						
"Graham"																						
"Alexander Graeme -RSB-"																						
"John -RSB- Macartney"																						
"Henry -RSB- Clinton"																						
"-LSB- Hugh -RSB- Percy"						" and a number of officers belonging to the 16th and 40th regiments "	" besides some engineers "	" are arrived in"														
"Hampton"																						
"Montague"																						
"Graham"																						
"Dunmore"																						
"Otter"																						
"Dunmore"																						
"Wil - liam"																						
"GRAEME"																						
"Andrew Snape"																						
"John Goodridge -LSB- Goodrich"																						
"John King"																						
"John King"																						
"Said Sloop"																						
"Robert Aitchison"																						
"Tobias Furneaux Esqr"																						
"Peggy"																						
"Tobias Furneaux"																						
"Robert Aitchison"																						
"Perry"																						
"Francis Parry"																						
"Sloop"																						
"Robert Aitchison"																						
"Ginn"																						
"Capt Oacks"																						
"Aitchison"																						
"John Leech"																						
"Jacob Collins"																						
"Richard Dunniver"																						
"John Leech"																						
"Jacob Collins"																						
"Richard Dunni"																						
"Thomas Aitchison"																						
"Conteaux de Chasse"																						
"Mrs Hatfield"																						
"Jo - siah -RSB- Martin"																						
"-LSB- James -RSB- Moore"																						
"Youngs"																						
"John Ashe"																						
"Esqr"																						
"Wil - mington"																						
"Clintons Company"																						
"-LSB- William -RSB- Cray"																						
"Parker"																						
"Cruizer"																						
"John"																						
"Davis"																						
"Captn Dupre"																						
"Cruizer"																						
"Captaia Clinton"																						
"Ashe"						" but when the day of trial came they shrunk back - That Gentlemen went so far as to inlist an Open Enemy who had been disarmed by the"																
"-LSB- Christopher"																						
"-LSB- William -RSB- Moultrie"																						
"-LSB- Isaac -RSB- Motte"																						
"John Lewis -RSB- Gervais"																						
"David -RSB- Oliphant"																						
"Mus"																						
"Gale"																						
"Channell"																						
"James Wright"																						
"Grant"																						
"James Wright"						" & most likely the whole Prov - ince ."																
"Andw Barkley"																						
"Henry Clinton"																						
"Stephen Cleveland"																						
"John"																						
"Gilbert Harrison"																						
"Scarborough"						" 1141-42 ."																
"Lyttleton"						" had Chosen Delegates -LRB- or Deputies "	" -RRB- and had Petitioned the"															
"Thomas -RSB- Gage"																						
"Lyttleton"																						
"George Jas Bruere"																						
"Bruere"																						
"Governoi"																						
"Samuel Tripe"																						
"Moses Noble"																						
"Elisha Hill"																						
"Spears"																						
"Joseph Simes"																						
"Joshua Wentworth"																						
"Moses Noble"																						
"Elisha Hill"																						
"Saml Tripe"																						
"Simon Furnald"																						
"John Langdon"																						
"John Langdon Esqr"																						
"Nat Tracy"																						
"John Langdon"																						
"Jeremiah Obrien"																						
"Michael Hodge"																						
"Obrien"																						
"Obrien"																						
"Harbour"																						
"Obrien"																						
"ROBERT HARRISON HANSON"																						
"WILLIAM WATSON William Watson Cambridge"																						
"Grindel"																						
"Robert"																						
"Harrison"																						
"Watertown Feby"																						
"Samuel -RSB- Osgood"																						
"John -RSB- Avery"																						
"Ossgo"																						
"Spriggs"																						
"Cushing"																						
"Stephens"																						
"Stephens"																						
"Graves"						" dated September 23 "	1775	" see Volume 2 "	" 735-36 ."													
"Howe"																						
"Howe"																						
"Necessitys"																						
"Graves"																						
"Wentworth"																						
"Shuldham"																						
"Wentworth"																						
"Philip Stephens"																						
"BOND.FOR Elizabeth"																						
"Benjamin Cushing John Brown"																						
"Nathaniel Jacobs"																						
"Joseph Clarke Esquire"																						
"Joseph Clarke"																						
"Benjamin Cushing"																						
"John Brown"																						
"Nathaniel Jacobs"																						
"Elizabeth"																						
"Joseph Lippitt"																						
"Nicholas Cooke Esquire"																						
"Joseph Lippitt"																						
"Brigg"																						
"Joseph Lippitt"																						
"Brigg"																						
"Joseph Lippitt"																						
"Linnen"																						
"Brigg"																						
"Benj Cushing"																						
"Nath Jacobs Henry Gardner Simon Smith John Brown"																						
"Bonds"																						
"Lemuel Wyatt"																						
"George Gibbs"																						
"Timothy Pearde"																						
"John Innes Clarke"																						
"Joseph Nightingale"																						
"Dianna"																						
"Jonathan Carpenter"																						
"John Brown"																						
"Moses Lip - pitt"																						
"Caleb Gardner"																						
"Sally"																						
"John"																						
"Earl"																						
"John Brown"																						
"Lucinda"																						
"Alexander Huling"																						
"Providence Gazette"																						
"James -RSB- Wallace"																						
"Ebenezer Bartram"																						
"James Hopkins"																						
"Seth -RSB- Harding"																						
"Bartram"																						
"Hopkins"																						
"McCleave"																						
"Die Sabbati"																						
"A.M. Feby"																						
"Saml"																						
"Franklin"																						
"Sally"																						
"John Hastier"																						
"Franklin"																						
"John Hastier"						" one quarter of fresh beef "	" a few gallons of rum or spirits "	" and a few pounds of chocolate "	" and that he "	" Mr."												
"Franklin"																						
"Hyde"																						
"Parker"																						
"Sally"																						
"John Hastier"																						
"Sally"																						
"Saml"																						
"Franklin"																						
"Parker"																						
"John Hastier"																						
"Franklin"																						
"Parker"																						
"Bernard Romans"																						
"Thomson"																						
"Bernard Romans"																						
"David Collins"																						
"Nathan Culver"																						
"David Collins Nathan Culver Sworn"																						
"P. Mathews"																						
"David Collins"																						
"Warr"																						
"Hyde"																						
"Parker"																						
"David Collins"																						
"P. Matthews"																						
"Michael Kearny"																						
"Philad"																						
"Procter"																						
"Thomas Proctor"																						
"Robert Towers"																						
"Andrew -RSB- Caldwell"																						
"Procter"																						
"Proctor"																						
"Robert Towers"																						
"Owen Biddle"																						
"Robert -RSB- Whyte"																						
"Smith"																						
"Smith"																						
"Jeremiah Simmons"																						
"Warren"																						
"Johnston"																						
"Bower"																						
"Modr"																						
"Georges Ensign"																						
"Govr Martin"																						
"Bour"																						
"Bower"																						
"Saild"																						
"Martin"																						
"Parry"																						
"William Purviance"																						
"Henry -RSB- Aitkin"																						
"Russel"																						
"Nathaniel Russell"						" be forthwith discharged "	" agree - able to the prayer of the petitioners ."															
"Benjamin Dean"																						
"Joseph White"																						
"St John"																						
"Legge"																						
"Chace"																						
"Chace"																						
"David Lunt"																						
"Jacob Boardman"																						
"Shuldham"																						
"Michael Kearney"																						
"Hyde"																						
"Parker"																						
"Kearney"																						
"William Alexander"																						
"Stirling"																						
"Livingston"																						
"David Collins"																						
"Nathan Culver"																						
"HYDE PARKER"																						
"MOLYNEUX"																						
"Charles -RSB- Lee"						" this it was impossi - ble for His Majesty 's Ships to prevent "	" the Battery being so situated "	" that I Should have been Obliged to place one Ship in the"														
"Clinton"						" neither was this Act of Violence "	" an Act of the City 's "	" but of the Rebels who have invaded it "	" as ap - pears by the Minute of the"													
"Lee"																						
