		"INTRODUCTION `` No man is an island unto himself '' in this age of satellite communication "	" jet aircraft and intercontinental missiles ."																					
																								
		"Yet even in the 18th century "	" as the documents in this volume point up "	" the Ear reaching sea made the affairs of the small emerging American nation in some ways the affairs of all ."																				
																								
		"The spark of liberty could not have survived in"																						
"America"	"LOCATION"	"without extensive aid from overseas ."																						
																								
		"Among the many significant events in these nautical pages "	" none had greater impact than"																					
"France"	"LOCATION"	"'s secret policy to prolong the war through undercover aid that could come only by sea and lvould eventually involve her powerful fleets to bring victory ."																						
																								
		"It is interesting that at the outset Bourbon autocracy promoted Ameri - can freedom-fanning the fires that would spread to"																						
"France"	"LOCATION"	"and destroy the monarchy ."																						
																								
		"Surely"																						
"Providence"	"LOCATION"	"works in mysterious and unforeseen ways - as"																						
"America"	"LOCATION"	"experienced often during the Revolution and in the stirring years to come when this land of freedom has become a beacon of hope to all men ."																						
																								
		"The initial decision to include foreign documents relating to the war at sea seems more than ever justified as we get deeper into the years of con - flict ."																						
																								
		"They bring breadth of perspective "	" significance and deeper meaning ."																					
																								
		"At the same time the growing sea of documents has vastly increased our task of selection ."																						
																								
		"It has taken four broad-beamed volumes to reach to the first months of the second year of the Revolution ."																						
																								
		"Documents printed in the volumes contain the principal "	" but by no means all the large holdings collected in the"																					
"Naval History Division"	"ORGANIZATION"	"for this period ."																						
																								
		"Through drastic editorial review "	" extracting or eliminating material "	" and footnote references "	" we have been able to extend the time span of Volume 4 over that covered in Volume 3 ."																			
																								
		"We will hold this course of selection even more closelv in sub - sequent volumes ."																						
																								
		"The wholehearted support of libraries "	" historical societies "	" museums "	" archives "	" other depositories "	" and private collectors and researchers in the"																	
"United States"	"LOCATION"	"and abroad continues to make this work a reality ."																						
																								
		"Unpub - lished Crown copyright material in the publib"																						
"Record Office"	"ORGANIZATION"	"is reproduced by permission of the"																						
"Controller of H.M. Stationery Office"	"ORGANIZATION"	0																						
																								
		"We were able to get this great editorial project underway a decade ago because of the knowledge and dedication of"																						
"William Bell Clark"	"PERSON"	0																						
																								
		"In his heart was an abiding love for the American Revolution as affected by naval events ."																						
																								
		"In his mind he had stored information from a lifetime of research and reading ."																						
																								
		"In his library he had tens of thousands of pages of transcripts relating to the Revolution ."																						
																								
		"Therefore "	" when he quietly sailed on into vaster seas we suffered a grievous loss indeed in a splendid American "	" an esteemed friend "	" and an editor whose knowledge can not be fully replaced by any man alive ."																			
																								
		"We will carry on this series but will not cease to think of him and miss him ."																						
																								
		"Within the Naval History Division the key to this project 's success and steady progress continues to be the intelIigent know-how "	" intense interest "	" and hard work of Dr. ?"																				
																								
																								
"Villiam James Morgan"	"PERSON"	"and his devoted crew in our Historical Research Section-Lieutenant"																						
"Patrick A. Lyons"	"PERSON"		" Mr."																					
"Robert I. Campbell"	"PERSON"		" Mr. and Mrs."																					
"Henry J. Scheffenacker"	"PERSON"		" Mrs."																					
"Eleanor Roll"	"PERSON"																							
"Yeo"	"PERSON"	"- man First Class"																						
"Joseph V. Eckert"	"PERSON"		" Miss"																					
"Anne Kenenski"	"PERSON"		" and a talented part time worker in our vineyard "	" Mr. arti in"																				
"Petersilia"	"PERSON"	0																						
																								
		"Lieutenant"																						
"Raymond P. Schmidt"	"PERSON"	"and Chief"																						
"Personnelman George K. McCuistien"	"PERSON"		" on summer"																					
"Naval Reserve"	"ORGANIZATION"	"duty with us "	" made significant con - tributions ."																					
																								
		"Mr."																						
"W. Bart Greenwood"	"PERSON"																							
"Navy Department Librarian"	"ORGANIZATION"		" and Miss"																					
"Mary Pickens"	"PERSON"	"did a fine job with the maps as did Mr."																						
"Charles R. Haberlein Jr."	"PERSON"		" of the Curator 's Branch "	" with other illustrations ."																				
																								
																								
"France"	"LOCATION"	"'s secret decisions that highlight the importance of the sea for the future of"																						
"America"	"LOCATION"	"represent only a small portion of the material in Volume 4 that points up this unchanging verity in history of the sea 's mighty role ."																						
																								
		"For example "	" on one day in 1776 "	" 19 April "	" the first anniversary of the embattled patriots ' stand at"																			
"Lexington"	"LOCATION"	"and"																						
"Concord"	"ORGANIZATION"		" we find these wide spread indications : a ."																					
																								
																								
"Virginia"	"LOCATION"	"newspaper reported that two British tenders sailed up the"																						
"James River"	"LOCATION"	"and captured a vessel `` with about 200 barreIs of flour on board . ''"																						
																								
		"b ."																						
																								
																								
"Pennsylvania"	"LOCATION"	"decided to build an additional Aoating battery to cover the water approaches to"																						
"Philadelphia"	"LOCATION"	0																						
																								
		"c ."																						
																								
																								
"New York"	"LOCATION"	"directed her sloop"																						
"Montgomery"	"PERSON"	"to hasten to sea to `` act against the enemies of the"																						
"United Colonies"	"ORGANIZATION"	". ''"																						
																								
		"d ."																						
																								
																								
"Massachusetts"	"LOCATION"	"named `` five armed Vessels now building '' - In-dependence "	" Rising Empire "	" Republic "	" Freedom "	" and Tyranni-cide ."																		
																								
		"e ."																						
																								
																								
"Halifax"	"LOCATION"																							
"Nova Scotia"	"LOCATION"	0																						
																								
		"Vice Admiral"																						
"Shuldham"	"PERSON"	"wrote an urgent dispatch to the Admiralty ."																						
																								
																								
"H.M.S. Glasgow"	"LOCATION"	"had arrived much `` shattered '' having `` off"																						
"Rhode Island"	"LOCATION"	"fallen in with and been attack 'd by several Armed Vessels of the Rebels . ''"																						
																								
		"f ."																						
																								
																								
"London"	"LOCATION"	0																						
																								
		"Admiralty Secretary"																						
"Philip Stephens"	"PERSON"	"had no way of knowing that"																						
"Boston"	"LOCATION"	"was recently evacuated as he addressed an order to"																						
"Shuldham"	"LOCATION"	0																						
																								
		"He urged extreme vigilance in protecting homeward-bound"																						
"West Indies"	"LOCATION"	"trade "	" and that British Captains `` take or destroy any Rebel1 Cruizers they may happen to meet with . ''"																					
																								
		"Throughout the ~ volume these "	" and many other documents "	" as President"																				
"Kennedy"	"PERSON"	"wrote in the Foreword to Volume 1 "	" `` make ` amply clear the criti - cal role played by sea power in the achievement of American independence . ''"																					
																								
																								
"E. M. Eller"	"PERSON"	"xii EDITOR 'S PREFACE Several of the most significant events of the war for independence appear in the pages of this "	" the fourth volume of ~ Naval Documents of the Ameri-can Revolution ."																					
																								
		"Foremost are the resolves of the"																						
"Continental Congress"	"ORGANIZATION"	"establishing a definite naval policy ."																						
																								
		"Operations of all war vessels "	" whether"																					
"Continental"	"ORGANIZATION"		" those under General"																					
"Washington"	"LOCATION"		" or those of the Colonies "	" had been limited to protection of ports and coastal waters "	" and capture of British ships of war or any vessel carrying troops "	" munitions "	" supplies or provisions to the enemy ."																	
																								
		"But "	" in March 1776"																					
"Congress"	"ORGANIZATION"	"authorized commis - sioning of privateers -LRB- letters of marque and reprisal -RRB- and allowed unre-stricted capture of any vessel of any description carrying the English flag ."																						
																								
		"In early April"																						
"Congress"	"ORGANIZATION"	"implemented this action through specific instruc - tions to its commanders on land and sea "	" and to each of the thirteen c010 - nies ."																					
																								
		"Second in importance "	" and following along a month later "	" was"																				
"George"	"PERSON"	"111 's proclamation banning all commerce with his rebellious colonies under the Prohibitory Act ."																						
																								
		"This "	" also "	" provided for unrestricted warfare against his disobedient subjects in"																				
"North America"	"LOCATION"	0																						
																								
		"Thirdly is the `` Considerations on the Affair of the English Colonies in"																						
"America"	"LOCATION"		" '' by the"																					
"Count de Vergennes"	"ORGANIZATION"	0																						
																								
		"In a document intended primarily for the eyes of his Spanish counterpart "	" the French Foreign Minister set forth the aims of the two Courts-prolong the war for at least a year by continuing surreptitious aid to the British colonies in"																					
"America"	"LOCATION"		" assure"																					
"Great Britain"	"LOCATION"	"at the same time that they ardently desired peace "	" and make no treaty with the Americans until the latter had declared independence and had demonstrated ability to maintain it ."																					
																								
		"`` Because a year gained "	" '' wrote Ver - gennes "	" `` for measures of vigour and foresight "	" may "	" in many respects "	" change the aspect of affairs . ''"																	
																								
		"Resolves and pronouncements "	" however "	" are but a small "	" though con - sequential part of this volume ."																			
																								
		"The first"																						
"Continental Fleet"	"ORGANIZATION"	"made a success - ful amphibious assault on"																						
"New Providence"	"LOCATION"		" in the"																					
"Bahamas"	"LOCATION"	0																						
																								
																								
"Commodore Hopkins"	"ORGANIZATION"	"' ships carried off the island governor "	" cannon "	" and stores "	" but a bungle denied the American raiders any sizeable quantity of the garrison 's gunpowder ."																			
																								
		"All this is described in letters and other documents "	" along with accounts of the inexperienced Fleets ' rather ignominious encounter with"																					
"H.M.S. Glasgow"	"LOCATION"	0																						
																								
		"xiii Two more vessels were added to the"																						
"Continental Navy"	"ORGANIZATION"	"in this same period : ship Reprisal and brig"																						
"Lexington"	"LOCATION"	0																						
																								
		"Early cruises of the latter are related "	" including the sharp engagement with and capture of"																					
"H.M. Sloop Edward"	"PERSON"	": `` We shattered her in a terrible manner as you will see . ''"																						
																								
		"Likewise "	" these pages reveal the building progress of some of the thirteen frigates authorized earlier by"																					
"Congress"	"ORGANIZATION"		" as well as the expansion of the navies of six of the colonies-Massachusetts "																					
"Connecticut"	"LOCATION"																							
"Pennsylvania"	"LOCATION"																							
"Maryland"	"LOCATION"		" Vir - ginia "	" and"																				
"South Carolina"	"LOCATION"	0																						
																								
		"The British side.of the picture during the months covered in this vol - ume is amply depicted ."																						
																								
		"Letters and ships ' journals tell of frustration in the attempt to recover all of the rice ships in"																						
"Savannah"	"LOCATION"	"harbor "	" of the futile effort to ascend the"																					
"Cape Fear River"	"LOCATION"	"and join force with the"																						
"Scotch Tories"	"ORGANIZATION"	"already defeated at"																						
"Moore 's Creek"	"LOCATION"	"bridge "	" of the storms that delayed the arrival of the naval and military expedition against the Southern colonies "	" of the evacuation of"																				
"Boston"	"LOCATION"	"and sailing of the British army to"																						
"Halifax"	"LOCATION"		" and of the lone success "	" relief of Quebec and rout of the bedraggled American besiegers ."																				
																								
		"It was during this period that"																						
"Congress"	"ORGANIZATION"	"sent"																						
"Silas Deane"	"PERSON"	"as its first envoy to"																						
"France"	"LOCATION"	0																						
																								
																								
"Deane"	"PERSON"	"went armed with contracts for the military stores it was hoped he could obtain from the French court "	" or profit-minded French merchants ."																					
																								
		"His instructions and his difficulties in getting clear of the American coast are set forth in considerable detail ."																						
																								
		"At the same time "	" is des - cribed how"																					
"Richard Lord Howe"	"PERSON"	"was cajoled by the King to take command of the British fleet ."																						
																								
																								
"Howe"	"PERSON"	"was the third admiral to attempt the impossible task of stopping the flow of powder and arms from"																						
"Europe"	"LOCATION"	"and the"																						
"West Indies"	"LOCATION"	"to the American fighting forces ."																						
																								
		"Twice the enemy probed the defenses of American ports ."																						
																								
		"One was an abortive raid by a sloop-of-war into upper"																						
"Chesapeake Bay"	"LOCATION"		" and the other an engagement-in the"																					
"Delaware River"	"LOCATION"	"between two British frigates and"																						
"Penn"	"LOCATION"	"- sylvania row galleys ."																						
																								
		"The first day of this inconclusive battle brings Volume 4 to a close ."																						
																								
		"The editorial policy followed in this documentary series is detailed in Volumes 1 and 2 ."																						
																								
		"The editor wishes to repeat his sincere appreciation to the individuals and depositories whose cooperation has made possible the com - pleteness of these hefty volumes "	" and to the zeal of those listed in Admiral"																					
"Eller"	"PERSON"	"'s introductions in this and preceding volumes "	" for supplying the `` bookmaking and infinite labors to make the series as accurate and useful as possible . ''"																					
																								
																								
"William Bell Clark"	"PERSON"	"xiv DEPOSITORY LOCATION ABBREVIATIONS ' AAS AHN AMAE AN APL APS Bda ."																						
																								
		"Arch ."																						
																								
		"BHS BM BPL ChHS CL ConnHS ConnSL CUL CWM DAC DARL DCL DLAR DUL EI FDRL HCL HH HL HSD HSP"																						
"HU American Antiquarian Society"	"ORGANIZATION"																							
"Worcester"	"LOCATION"																							
"Massachusetts Archivo Histbrico Nacional"	"ORGANIZATION"																							
"Madrid Archives Du Ministhe Des Affaires Btranghres"	"LOCATION"																							
"Paris Archives Nationales"	"ORGANIZATION"																							
"Paris Service"	"ORGANIZATION"	"historique de la"																						
"Marine Archives du Port de Lorient"	"LOCATION"																							
"Lorient"	"LOCATION"																							
"France American Philosophical Society"	"ORGANIZATION"																							
"Philadelphia Bermuda Archives "	" Hamilton "	" Bermuda Beverly Historical Society"	"ORGANIZATION"																					
"Beverly"	"LOCATION"																							
"Massachusetts British Museum"	"ORGANIZATION"																							
"London"	"LOCATION"	"I"																						
"Boston Public Library"	"ORGANIZATION"																							
"Boston Chicago Historical Society"	"ORGANIZATION"																							
"Chicago William L. Clements Library"	"ORGANIZATION"																							
"University of Michigan"	"ORGANIZATION"																							
"Ann Arbor Connecticut Historical Society"	"ORGANIZATION"																							
"Hartford Connecticut State Library"	"ORGANIZATION"																							
"Hartford Columbia University Library"	"ORGANIZATION"																							
"New York College of William and Mary"	"ORGANIZATION"																							
"Williamsburg"	"LOCATION"																							
"Virginia Dominion -LRB- Public -RRB- Archives of Canada "	" Ottawa Daughters of the American Revolution Library"	"ORGANIZATION"		" Washing - ton "																				
"D.C. Dartmouth College Library"	"ORGANIZATION"																							
"Hanover"	"LOCATION"																							
"New Hampshire David Library of the American Revolution"	"ORGANIZATION"																							
"Washington Crossing"	"LOCATION"																							
"Pennsylvania Duke University Library"	"ORGANIZATION"																							
"Durham"	"LOCATION"																							
"North Carolina Essex Institute"	"ORGANIZATION"																							
"Salem"	"LOCATION"																							
"Massachusetts Franklin D. Roosevelt Library"	"ORGANIZATION"																							
"Hyde Park"	"LOCATION"																							
"New York Haverford College Library"	"ORGANIZATION"																							
"Haverford"	"LOCATION"																							
"Pennsylvania Hempstead House"	"LOCATION"																							
"New London"	"LOCATION"																							
"Connecticut Hayes Library"	"ORGANIZATION"																							
"Edenton"	"LOCATION"																							
"North Carolina Historical Society of Delaware "	" Wilmington Historical Society of Pennsylvania"	"ORGANIZATION"																						
"Philadelphia Harvard University Library"	"ORGANIZATION"																							
"Cambridge"	"LOCATION"																							
"Massachusetts"	"LOCATION"	"1 ."																						
																								
		"The list includes depositories from which manuscripts have heen used in this and previous volurnes ."																						
																								
		"Ollr collection includes materials from a number of other depositories which will appear in later volumes ."																						
																								
		"The Descriptive List of Illustrations includcs additional sources from which graphic material has been used in Volume 4 ."																						
																								
		"HUL JCBL LC MarbHS"																						
"Mass."	"LOCATION"	0																						
																								
		"Arch ."																						
																								
		"MassHS MCL Md. ."																						
																								
		"Arch ."																						
																								
		"MdHS MeHS MHA MNHP Mor ."																						
																								
		"Arch ."																						
																								
		"NA NCDAH NHA NHCHS NHHS NHS NLCHS NMM"																						
"N.S. Arch"	"ORGANIZATION"	0																						
																								
																								
"NYHS NYPL NYSL Pa."	"LOCATION"	0																						
																								
		"Arch ."																						
																								
		"PM PML PRO"																						
"PS PUL R.I. Arch"	"ORGANIZATION"	0																						
																								
																								
"RIHS SCHS"	"ORGANIZATION"	"S I"																						
"UNCL USNAM Henry E. Huntington Library"	"ORGANIZATION"																							
"San Marino"	"LOCATION"																							
"California John Carter Brown Library"	"ORGANIZATION"																							
"Providence"	"LOCATION"																							
"Rhode Island Library of Congress"	"ORGANIZATION"																							
"Washington"	"LOCATION"																							
"D.C. Marblehead Historical Society"	"ORGANIZATION"																							
"Marblehead"	"LOCATION"																							
"Massa"	"PERSON"	"- chusetts"																						
"Massachusetts Archives"	"ORGANIZATION"																							
"Boston Massachusetts Historical Society"	"ORGANIZATION"																							
"Boston Marietta College Library"	"ORGANIZATION"																							
"Marietta"	"ORGANIZATION"																							
"Ohio"	"LOCATION"																							
"Maryland Archives -LRB- Hall of Records"	"ORGANIZATION"	"-RRB- "																						
"Annapolis Maryland Historical Society"	"ORGANIZATION"																							
"Baltimore Maine Historical Society"	"ORGANIZATION"																							
"Portland Marine Historical Association"	"ORGANIZATION"																							
"Mystic"	"LOCATION"																							
"Connecticut Morristown National Historical Park"	"ORGANIZATION"																							
"Morristown"	"LOCATION"																							
"New Jersey Moravian Archives"	"LOCATION"																							
"Winston-Salem"	"LOCATION"																							
"North Carolina National Archives"	"ORGANIZATION"																							
"Washington"	"LOCATION"																							
"D.C. North Carolina Department of Archives and History"	"ORGANIZATION"																							
"Raleigh Nantucket Historical Association"	"ORGANIZATION"																							
"Nantucket"	"LOCATION"		" Massa-chusetts"																					
"New Haven Colony"	"ORGANIZATION"	"~ istorical Society "																						
"New Haven"	"LOCATION"		" Con - necticut"																					
"New Hampshire Historical Society"	"ORGANIZATION"																							
"Concord Newport Historical Society"	"ORGANIZATION"																							
"Newport"	"LOCATION"																							
"Rhode Island New London County Historical Society"	"ORGANIZATION"																							
"New London"	"LOCATION"																							
"Connecticut National Maritime Museum"	"ORGANIZATION"																							
"Greenwich"	"LOCATION"																							
"England Nova Scotia Archives"	"LOCATION"																							
"Halifax New-York Historical Society"	"ORGANIZATION"																							
"New York New York Public Library"	"ORGANIZATION"																							
"New York New York State Library"	"LOCATION"																							
"Albany Pennsylvania Archives"	"LOCATION"																							
"Harrisburg Peabody Museum"	"LOCATION"																							
"Salem"	"LOCATION"																							
"Massachusetts Pierpont Morgan Library"	"ORGANIZATION"																							
"New York Public Record Office"	"ORGANIZATION"																							
"London Pilgrim Society"	"ORGANIZATION"																							
"Plymouth"	"ORGANIZATION"																							
"Massachusetts Princeton University Library"	"ORGANIZATION"																							
"Princeton"	"ORGANIZATION"																							
"New Jersey Rhode Island Archives"	"LOCATION"																							
"Providence Rhode Island Historical Society"	"ORGANIZATION"																							
"Providence South Carolina Historical Society"	"ORGANIZATION"																							
"Charleston Smithsonian Institution"	"ORGANIZATION"																							
"Washington"	"LOCATION"																							
"D.C. University of North Carolina Library"	"ORGANIZATION"																							
"Chapel Hill"	"LOCATION"																							
"North Carolina US Naval Academy Museum"	"LOCATION"																							
"Annapolis"	"LOCATION"																							
"Maryland"	"LOCATION"	"xvi CONTENTS Foreword ... ."																						
																								
		"ix Introduction ... ."																						
																								
		"xi Editor 's Preface ... ."																						
																								
		"xiii Depository Location Abbreviations ... ."																						
																								
		"xv Descriptive List of Illustrations ... ."																						
																								
		"xxi American Theatre "	" Feb. 19 "	" 1776-Apr ."																				
																								
		17	" 1776 ... 1 European Theatre "	" Feb. 1 "	" 1776-May 25 "	" 1776 ... 879 American Theatre "	0																	
																								
		"Apr. 18 "	" 1776-May 8 "	" 1776 ... 1 147 Appendices A. Merchantmen Permitted to Sail from"																				
"Rhode Island"	"LOCATION"		" March - May 1776 ... 1479 B. Journal of"																					
"Francis Boardman"	"PERSON"		" sloop Adventure ... 1485 C. Journal of the Continental Brig Andrew Doria "	" Captain"																				
"Nicholas Biddle"	"PERSON"	"... 1489 Bibliography ... 1505 Index ... 1507 xix DESCRIPTIVE LIST ILLUSTRATIONS Page `` A Map of the World "	" with the Latest Discoveries ."																					
																								
		"... 1781 . ''"																						
																								
		0																						
																								
		0																						
																								
		"Endsheets From"																						
"Samuel Dunn"	"PERSON"		" A New Atlas of the Mundane System "	" or of ... Geography and Cosmography ... "																				
"R. Sayer"	"PERSON"	"and"																						
"J. Bennett"	"PERSON"																							
"London"	"LOCATION"		" 1778-1 783 ."																					
																								
		"-LRB- Collections of The"																						
"Library of Congress"	"ORGANIZATION"																							
"Washington"	"LOCATION"	". -RRB-"																						
																								
																								
"Esek Hopkins"	"PERSON"	"..."																						
"Frontispiece Mezzotint"	"ORGANIZATION"		" published by"																					
"J. M. Will"	"PERSON"	"of"																						
"Augsburg"	"LOCATION"		" after a mezzotint published by"																					
"Thomas Hart"	"PERSON"																							
"London"	"LOCATION"		" 1776 ."																					
																								
		"-LRB- Courtesy of The Brit - ish Museum "																						
"London"	"LOCATION"	0																						
																								
		"British Crown Copyright . -RRB-"																						
																								
		"0 `` Sketch of the Burning of the Houses on"																						
"Dorchester Neck"	"LOCATION"	0																						
																								
		0																						
																								
		". ''"																						
																								
		0																						
																								
		"... ."																						
																								
		"Wash drawing by"																						
"Archibald Robertson"	"PERSON"		" c. 1776 ."																					
																								
		"-LRB- Courtesy of the"																						
"Spencer Collection of the New York Public Library"	"ORGANIZATION"	0																						
																								
																								
"Astor"	"PERSON"																							
"Lenox"	"LOCATION"	"and"																						
"Tilden"	"PERSON"	"Foundations . -RRB-"																						
																								
		"`` The"																						
"Yankey"	"ORGANIZATION"	"'s Return from Camp . ''"																						
																								
		"... 26 Broadside "	" by an unidentified author and printer "	" c. 1776 "	" featur - ing a version of the song `` Yankee Doodle '' ."																			
																								
		"-LRB- Courtesy of the"																						
"Essex Institute"	"ORGANIZATION"																							
"Salem"	"LOCATION"																							
"Massachusetts"	"LOCATION"	". -RRB-"																						
																								
																								
"Philip Schuyler"	"PERSON"	"... 53 Stipple engraving "	" by"																					
"Leney"	"PERSON"		" published in The Port Folio "																					
"Phila-delphia"	"LOCATION"		" February "	" 18 10 ."																				
																								
		"-LRB- Collections of The"																						
"Library of Congress"	"ORGANIZATION"																							
"Washington"	"LOCATION"	". -RRB-"																						
																								
																								
"Benjamin Franklin"	"PERSON"	"... 53 Line engraving "	" by"																					
"Goldar"	"PERSON"		" from"																					
"John Andrews"	"PERSON"		" History of the War with"																					
"America"	"LOCATION"	"... "																						
"J. Fielding"	"PERSON"																							
"London"	"LOCATION"		" 1785-86 ."																					
																								
		"-LRB- Collec-tions of The"																						
"Library of Congress"	"ORGANIZATION"																							
"Washington"	"LOCATION"	". -RRB-"																						
																								
		"Sir"																						
"Guy Carleton"	"PERSON"	"... 53 Line engraving "	" by"																					
"J. Wooding"	"PERSON"		" published in the"																					
"New London Magazine"	"ORGANIZATION"																							
"London"	"LOCATION"		" June "	" 1787 ."																				
																								
		"-LRB- Courtesy of the"																						
"Frederick S. Hicks"	"PERSON"	"Collection "																						
"Alexandria"	"LOCATION"																							
"Virginia"	"LOCATION"	". -RRB-"																						
																								
																								
"Wharton"	"PERSON"	"and ~ um ~ hre ~ s ' draft of"																						
"Continental"	"ORGANIZATION"	"Frigate Randolph "	32	" built at"																				
